ZIP,ACTIVE,ROA,DEPDOM,DATEUPDT,ROE,STNAME,ASSET,OFFICES,NETINC,DEP,NAME,CBSA,CITY,OFFDOM,CERT,STALP,COUNTY,ID
85493,3,0.76,229081,11/26/1984,6.92,Iowa,564979,14,4077,473923,Barrera-Chen,,Charles City,14,1852,IA,Floyd,4ffba05e292341e54f6b149967cf0e728d4f11e8
28219,4,1.58,7728934,02/15/1997,14.63,Iowa,712666,14,10542,632349,Cunningham LLC,"Fort Madison-Keokuk, IA-IL-MO",Pilot Grove,14,9100,IA,Lee,a179c82241ed83905857fa2d0ad39248992036d8
57630,4,0.98,6527082,03/02/1995,8.51,Iowa,369930,13,3325,312072,Hale-Bullock,,Atlantic,13,15334,IA,Cass,e44d442adad6402dda270d655fddc2ca4af309ae
88093,2,0.93,6543016,08/27/1990,8.45,Iowa,770638,12,6867,614462,Williams PLC,"Cedar Rapids, IA",Cedar Rapids,12,17282,IA,Linn,ba7717893419552c9acf649e8a6a87dbe329837c
87747,3,1.01,5534017,02/09/1986,10.19,Iowa,1006186,12,9286,848679,Powers Group,"Burlington, IA-IL",Burlington,12,58013,IA,Des Moines,f152e1e4e05dab14c49bf0967e8afd06d16716ff
19844,2,1.86,6247329,10/30/1991,19.89,Iowa,1344013,11,23234,1047002,Davis Inc,"Waterloo-Cedar Falls, IA",Waterloo,11,12855,IA,Black Hawk,6739eaf8d659e2cb4b595dbdc00e111c1c9e60f3
75957,4,1.56,1949988,10/13/2011,11.99,Iowa,577114,11,8816,472945,"Robinson, Sullivan and Blanchard","Waterloo-Cedar Falls, IA",Grundy Center,11,14079,IA,Grundy,abbf7d603a4fb9a6fe4bc5028d4aff109489d3e9
66968,4,0.9,8841525,01/18/1975,8.82,Iowa,495298,11,4174,399916,"Bell, Hawkins and Anderson",,Edgewood,11,14633,IA,Delaware,39e6d12c0461aaba3f328cd453255df7fbc340cb
31889,4,1.64,723000,12/12/2013,14.55,Iowa,1108499,11,17042,894166,Anderson-Sanchez,,Sioux Center,10,228,IA,Sioux,cad06f3c4901bbcd4a396dd83c4544a146d6e3e8
70244,4,0.38,7462584,01/28/1984,3.68,Iowa,613395,11,2304,527333,Burns and Sons,"Omaha-Council Bluffs, NE-IA",Council Bluffs,11,4465,IA,Pottawattamie,8d87e825f300530dc4b74ce802d15841bf9a528c
38636,2,1.1,8455143,08/26/2010,11.62,Iowa,1095927,11,11333,984282,Snyder-Mays,"Spirit Lake, IA",Spirit Lake,11,5170,IA,Dickinson,3423059cbf14595880402382b449343f8d98bd5c
39550,3,1.5,9151039,12/30/2016,13.11,Iowa,494242,11,7171,429714,"Obrien, Williams and Rice","Sioux City, IA-NE-SD",Sioux City,11,57505,IA,Woodbury,f166aed2691aa9af7f5c8c066f3e121e71f129b1
91425,2,1.44,3791192,09/03/2017,11.06,Iowa,1039730,10,13461,868193,"Carey, Cole and Becker","Cedar Rapids, IA",Marion,10,14209,IA,Linn,e3d6e2026fe16639d7e17ed22b1bcbab6ba4764e
09333,3,1.09,1849884,11/09/1986,12.81,Iowa,577505,10,5699,508438,Rodriguez-Anderson,"Des Moines-West Des Moines, IA",Norwalk,11,14410,IA,Warren,e3d9179aab92467983bc43fb1ef6659d5901c3ff
91013,3,1,124267,11/27/1985,10.26,Iowa,1031155,10,9758,904495,Cruz-Sullivan,"Ames, IA",Ames,10,1545,IA,Story,fc27fbae8511b00b820da34fd107d27b11a72855
55120,3,1.25,7731209,03/10/1986,10.94,Iowa,1002725,10,11379,875400,Kelley-Williams,"Des Moines-West Des Moines, IA",Ankeny,10,18272,IA,Polk,24f24a08ff0285ac34d8412832b812cecd71b654
08553,2,0.79,9628357,12/20/1985,7.94,Iowa,437847,10,3214,378415,Foster-Schroeder,"Davenport-Moline-Rock Island, IA-IL",Davenport,11,34955,IA,Scott,540ee440ee0546252f213faa97158efec1bf105d
29344,2,1.06,4478113,10/25/2001,10.45,Iowa,574837,9,5905,453645,Morales-Jones,"Ames, IA",Ames,8,11763,IA,Story,c7ac0ae652a0b00abe1b42bca9882edd7d40381a
